N°Obs,1. Quel est votre ministère d'appartenance ?,2. Quelle est votre fonction ?,3. Précisez votre fonction,"4. Quel est le nom de votre direction, sous-direction ou service",5. Quelle est votre région (pour les administrations territorial,6. A1. Considérez-vous avoir eu rapidement les moyens de mobilis,7. A1a. Pour quelles raisons ?,8. A2. Dans quel délai avez-vous eu connaissance des moyens numé,9. A3. Comment notez-vous l'efficacité de vos moyens de télétrav,10. A4. Quelles initiatives complémentaires avez-vous prises pou,11. Messagerie du ministère,12. Messagerie autre (ex: gmail),13. Messagerie instantanée interministérielle (Tchap),14. Messagerie instantanée autre (ex: WhatsApp),15. Visio-conférence du ministère,16. Viso-conférence interministériel (WebConf),17. Visio-conférence autre (ex: Skype),18. Outils collaboratifs du ministère,"19. Outils collaboratifs interministériels (OSMOSE, PLANO, RESAN",20. Outils collaboratifs autres,21. Audio-conférence téléphonique,22. B2. Avez-vous eu recours à des ressources ou compétences add,"23. B2a. Si oui, lesquelles et comment les avez-vous activées ?",24. B3. A quelles principales difficultés avez-vous fait face po,25. C1. Considérez-vous que votre direction disposait d'une cult,26. C2. Quels moyens de communication internes avez-vous mis en,"27. C2a. Si ""autre"", lesquelles ?","28. C3. Avez-vous détecté des agents mis en difficulté, y compri",29. C3a. Que pouvez-vous en dire ?,30. C4. Entendez-vous conserver au-delà de la crise des pratique,"31. C4a. Si oui, lesquelles ?",32. C5. Que souhaitez-vous ajouter sur les impacts du numérique,33. Clé,34. Date de saisie,35. Date de dernière modification,36. Date de dernier enregistrement,37. Temps de saisie,38. Langue,39. Progression,40. Origine,41. Appareil utilisé pour la saisie
11,Services du Premier ministre,Autre,secrétaire général d'une AAI,Contrôleur général des lieux de privation de liberté.,Île-de-France,Oui,,Dès la 1ère semaine,4,"Questions sans objet. 
Le CGLPL est autonome dans la gestion de son SI. Celui-ci est conçu de manière permanente pour favoriser le télétravail car les équipes sont mobiles. Seuls des aménagements marginaux ont été nécessaires ; ils ont été traités en quelques jours.",Inconnu,Non utilisé,Non utilisé,Utile,Inconnu,Inconnu,Utile,Inconnu,Inconnu,Très utile,Très utile,Non,,difficulté d'usage des fonctions avancées des outils collaboratifs,Oui,Courriels / Lettre d'information;Réseau social;Site Web,,Non,,Oui,"accroissement de la part du télétravail
amélioration des outils collaboratifs propres","Le passage du CGLPL au télé travail généralisé a été aisé, car la culture du travail à distance est déjà largement répandue dans ses rangs. Il dispose depuis plusieurs années d’outils de télétravail performants et d'une documentation entièrement dématérialisée (SharePoint) et permet un accès sécurisé (VPN).Seuls quelques collaborateurs rechignent encore à utiliser les fonctions avancées, mais le travail par messagerie avec eux est possible.  
Les principaux obstacles qui restent à surmonter sont de nature culturelle ou institutionnelle :
- l'obligation au moins culturelle et protocolaire d'adresser des écrits sur papier aux ministres ; 
- l'impossibilité de correspondre par écrits dématérialisés avec les personnes détenus qui n'ont pas d'accès à la messagerie.
Il serait utile d'affirmer quelques principes simples : le fin des échanges sur papier entre services de l'Etat et l'obligation que toute personnes soit en mesure de correspondre avec l'Etat par voie dématérialisée.",48FB-Q4BR,28/04/2020 16:44:00,,28/04/2020 16:58:19,859.6583068,FR,Terminé,Direct,PC
12,Services du Premier ministre,Autre,adjoint DIJOP,,,Oui,,Dès la 1ère semaine,5,audioconférences,Très utile,Non utilisé,Non utilisé,Utile,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Très utile,Non,,absence d'outils  de télétravail pour les assistantes,Oui,Courriels / Lettre d'information;Web ou audio conférences,,Non,,Je ne sais pas encore,,"globalement , hormis les assistantes( mises de facto en congé du fait qu'elles ne sont pas dotées de micro ordinateurs portables) très bonne adaptation des équipes( de cadres) à l'organisation du télétravail.",RDWZ-EUFJ,28/04/2020 16:58:15,,28/04/2020 17:03:12,296.8406093,FR,Terminé,Direct,PC
13,Services du Premier ministre,Autre,cbcm,CBCM SPM,,Non,"1/ je ne disposais pas des numéros d'appel, ni des adresses mail personnelles de mes collaborateurs
2/ lesquels ne disposaient d'aucun moyen de travail à distance",La 2ème semaine,2,"Information hebdomadaire de l'ensemble des agents (sur leurs numéros de portables personnels)
organisation en deux équipes alternant en présentiel chaque semaine afin de préserver une capacité de traitement des dossiers à la hauteur des besoins des ordonnateurs
installation de 8 postes de travail à distance (moins d'un quart de l'effectif)
réorganisation interne afin que l'ensemble des tâches indispensables soient prises en charge",Utile,Très utile,Non utilisé,Très utile,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Très utile,Non,,"Micro-ordinateurs portables très peu nombreux et peu adaptés au travail sur CHORUS
pas de moyens d'audio conférence fournis par les SPM, la DGFiP ou la DB, d'où le recours à Whatsapp, sur les téléphones personnels",Non,Autre,"SMS hebdomadaires
échanges par Whatsapp",Pas encore,,Oui,"travail à distance pour 1 ou 2 jours dans la semaine
aller vers plus de polyvalence des agents
parachever la dématérialisation des échanges","le recours à des matériels personnels et à des applications grand public pour traiter des dossiers professionnels va à rebours des recommandations habituelles en matière de sécurité informatique ; c'était pourtant la seule solution pour continuer à fonctionner, ce qui est regrettable.
Par ailleurs, et c'est une excellente chose, des progrès substantiels ont été faits avec les ordonnateurs en termes de dématérialisation des échanges ; il n'est pas envisageable qu'il y ait un retour en arrière.
Cette situation de crise a également été une occasion de s'interroger sur le bien fondé et l'efficacité de certaines procédures : il est souhaitable que des conséquences opérationnelles et réglementaires puissent en être tirées afin de fluidifier la chaîne d'exécution des dépenses publiques.",4TFC-ZSC4,28/04/2020 17:01:18,,28/04/2020 17:13:31,732.2881334,FR,Terminé,Direct,PC
14,Services du Premier ministre,Chef.fe de service (centrale),,Chef de service de l'administration générale,Île-de-France,Oui,,Dès la 1ère semaine,4,"Renforcer l'information et la formation sur les outils de travail collaboratifs, ceux existants mais restant méconnus, d'autres à mettre en place. 
Sortir temporairement du Réseau interministériel de l'Etat (RIE) trop petitement dimensionné jusqu'à ce qu'il permettre la connexion simultanée d'un grand nombre d'agent, avec des outils consommateurs de bande passante (ex JISTI)",Très utile,Non utilisé,Utile,Utile,Très utile,Très utile,Très utile,Inconnu,Non utilisé,Très utile,Très utile,Oui,"​- OVH conférence téléphonique gratuite : ce dispositif est très utile et la question se pose de disposer d'un outil similaire à la sortie de la crise sanitaire.
- SKYPE Entreprise","Très grande faiblesse du RIE, augmenté de 40 M° à 200 M° mais qui est resté insuffisant, conduisant à s'orienter sur la solution CELESTE.
Information insuffisante sur les outils collaboratifs sécurisés de l'Etat.",Oui mais insuffisamment,Courriels / Lettre d'information;Enquête en ligne;Site Web;Web ou audio conférences,,Oui,besoin de formation pour la connaissance et la prise d'outils collaboratifs,Oui,L'utilisation d'outils collaboratifs.,"​- Dispersion de l'information sur les outils, leurs fonctions et leur appropriations.

- La diffusion de vidéos tutorielles sur les outils numériques existant pourrait favoriser leur meilleure connaissance et appropriation afin d'accroitre la ""culture numérique"". 

- ai regretté la mauvaise expérience de JISTI : après diffusé l'information sur cet outil, à privilégier, son utilisation n'a pas été possible (RIE insuffisant) et nécessitera une communication renforcée pour recouvrer confiance dans les outils de la DINUM dès qu'un nouveau réseau sera en place. 

- La DINUM, pourtant présente sur le même site, est apparue quelque peu éloignée, chacun recherchant et partageant des solutions mieux mises en avant.",D7ZB-ZGJ2,28/04/2020 16:43:34,,28/04/2020 17:21:01,2247.3512541,FR,Terminé,Direct,PC
15,Services du Premier ministre,Directeur.trice (centrale),,MILDECA,,Pas suffisamment,Nombre de postes de travail insuffisant alors qu'une grande partie de l’activité peut être assurée ainsi,Dès la 1ère semaine,5,"Maintien des réunions de l'ensemble de l'équipe et des réunions de direction chaque semaine. Suivi individuel quasi quotidien de chaque chargée de mission, par téléphone, en binôme avec mon adjointe. Organisation des chantiers nouveaux et de la poursuite des anciens en privilégiant le travail en ""petits groupes"" de quelques chargés de mission pour rompre l'isolement.",Très utile,Très utile,Non utilisé,Très utile,Non utilisé,Non utilisé,Utile,Utile,Utile,Inconnu,Très utile,Oui,Recours à la DSI pour équiper un agent de plus.,Manque de solution de mobilité pour équiper tous les agents.,Oui mais insuffisamment,Courriels / Lettre d'information;Réseau social;Web ou audio conférences,,Non,,Oui,"Seuls deux agents sur 28 télétravaillaient un jour par semaine. Pratique à étendre probablement à l'avenir pour limiter les déplacements, permettre une meilleure harmonie entre vie personnelle et vie professionnelle... compte tenu de l'efficacité sur le travail lui-même confirmée par la crise.",,QCBE-DZM9,28/04/2020 18:30:11,,28/04/2020 18:41:58,707.8206166,FR,Terminé,Direct,PC
16,Services du Premier ministre,Autre,Délégué interministériel,Délégué interministériel au développement de la vallée de la Seine,,Oui,,Dès la 1ère semaine,4,"Actions essentiellement : 
- mise en oeuvre du télétravail pour les cadres, à l'exception du secrétariat en l'absence de micro-ordinateur et des outils de mobilitépour cette fonction,
- redéploiement des activités de secrétariat (gestion d'agenda essentiellement) au sein de l'équipe
- basculement des réunions en audio conférence y compris pour les points d'équipe",Très utile,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Inconnu,Inconnu,Inconnu,Très utile,Oui,"Compétence du service informatique pour mieux exploiter les outils disponibles et identifier leurs limites
Contact téléphonique avec l'équipe de permanence","Principales difficultés : 
- absence de continuité du secrétariat faute d'être doté des outils ad hoc 
- absence d'accès à la visio conférence à partir des micro ordinateurs mis à disposition du SPM",Oui mais insuffisamment,Courriels / Lettre d'information;Web ou audio conférences,,Non,,Je ne sais pas encore,,"Globalement un succès puisque ces outils permettent d'assurer, pour l'essentiel, la continuité de l'activité, avec toutefois des limites liées à l'impossibilité :
- d'avoir pu équiper le poste de secrétariat des outils de mobilité indispensables
- d'avoir eu accès à des outils de visio conférence.
Eu égard à la progressivité du déconfinement, il est souhaitable de pallier ces difficultés.",BNG3-JF7F,28/04/2020 16:18:10,,28/04/2020 19:31:34,11604.0453392,FR,Terminé,Direct,PC
17,Services du Premier ministre,Sous-directeur.trice (centrale),,ANSSI/Sous-direction Stratégie,Île-de-France,Oui,,Dès la 1ère semaine,3,,Très utile,Utile,Utile,Non utilisé,Inconnu,Très utile,Utile,Inconnu,Inconnu,Inconnu,Très utile,Non,,"outils numériques, gestion du travail collectif",Non,Courriels / Lettre d'information;Web ou audio conférences,,Non,,Oui,Télétravail,,G9J7-K6CA,28/04/2020 21:56:20,,28/04/2020 22:01:46,326.4713044,FR,Terminé,Direct,PC
18,Services du Premier ministre,Sous-directeur.trice (centrale),,SGDSN/ANSSI/SDN,,Oui,,Dès la 1ère semaine,4,"​- identification immédiate des fonctions devant impérativement donner lieu à travail sur site, 
- les personnels non concernés ont aussitôt été mis en travail à distance, le cas échéant en mettant en place des outils ad hoc pour les fonctions le nécessitant.
- pour les fonctions devant donner lieu à travail en présentiel, les personnels concernés ont été divisés en deux équipes équivalentes en taille et en compétences avec mise en place de rotations par quinzaine (une équipe sur site et une en réserve à domicile prête à prendre sa place en cas de maladie). Les personnels en réserve ont pu effectuer des tâches télétravaillables.
- organisation de points téléphoniques d'abord quotidiens, puis hebdomadaires, avec l'ensemble des managers de la sous-direction pour piloter le travail des équipes
- réorganisation du plan de charge projet du bimestre pour tenir compte des contraintes et opportunités liées à la situation de confinement (ainsi par exemple, certains projets de nature à améliorer les conditions de télétravail qui n'étaient pas  prioritaires avant la crise ont pu être réalisés, en captant les ressources libérées par d'autres qui se sont retrouvés de fait bloqués, faute de disponibilité de la maîtrise d'ouvrage).",Très utile,Non utilisé,Utile,Non utilisé,Très utile,Utile,Très utile,Utile,Non utilisé,Non utilisé,Très utile,Non,,"​- Beaucoup de travaux de la sous-direction sont de niveau confidentiel défense et nécessitent donc une présence sur place. 
- Le système d'information n'est pas homogène, et certains services n'étaient disponibles que pour la partie de la population interne déjà migrée sur le nouveau réseau extranet.
- Beaucoup d'utilisateurs du SGDSN découvraient certains des outils mis en place, ce qui a donné lieu à un surcroît de charge pour la hotline et les administrateurs.
- Forte pression  pour déployer OSIRIS/HORUS en urgence pour les CDSN et conseils des ministres",Oui mais insuffisamment,Courriels / Lettre d'information;Enquête en ligne;Site Web;Web ou audio conférences;Autre,Une messagerie instantanée pour les personnels de la sous-direction,Non,,Oui,"La crise a démontré que certaines fonctions se prêtaient mieux au télétravail que nous ne le pensions, nous serons donc plus facilement enclins à l'avenir à accorder une suite favorable aux demandes des agents les exerçant.  

De même certaines réunions présentielles pourraient plus facilement être remplacées par des téléréunions.","​- Réel succès de la visioconférence CD et de l'inauguration des OSIRIS dotés de caméra.
- Besoin de travailler sur un nouveau poste nomade DR plus ergonomique que celui existant (qui a cependant bien rendu service), et sur une visioconférence de niveau DR.
- Nécessité de revoir le PCA à l'aune de ce qui a été vécu
- Nécessité de revoir la répartition des outils et processus internes entre les réseaux CD et DR",A3BM-GYTL,29/04/2020 00:15:33,,29/04/2020 00:44:02,1709.0396673,FR,Terminé,Direct,PC
19,Services du Premier ministre,Autre,directeur adjoint,SGDSN/AIST,,Pas suffisamment,Problèmes de confidentialité de l'information ; manque d'équipement,Dès la 1ère semaine,1,échanges réguliers mais limités par les capacités des systèmes d'information (pas de visio par exemple).,Utile,Non utilisé,Non utilisé,Non utilisé,Inconnu,Inconnu,Non utilisé,Pas utile,Inconnu,Inconnu,Utile,Non,,problèmes d'équipement des collaborateurs ; limitation pour les sujets réservés ; impossibilité pour les sujets classifiés ;,Non,Web ou audio conférences,,Pas encore,,Non,,,UQZL-WHLB,29/04/2020 08:56:47,,29/04/2020 09:02:00,313.174271,FR,Terminé,Direct,PC
20,Services du Premier ministre,Chef.fe de service (centrale),,MILDECA,,Oui,,La 2ème semaine,4,,Très utile,Utile,Non utilisé,Utile,Pas utile,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Très utile,Non,,,Oui mais insuffisamment,Courriels / Lettre d'information;Web ou audio conférences,,Non,,Oui,,,Y8JT-BRHZ,29/04/2020 09:11:57,,29/04/2020 09:18:01,363.6581971,FR,Terminé,Direct,PC
21,Services du Premier ministre,Sous-directeur.trice (centrale),,Sous-direction des sites historiques et des transports,Île-de-France,Oui,,Dès la 1ère semaine,4,"Mise en œuvre du PCA, Télétravail.",Très utile,Pas utile,Pas utile,Pas utile,Très utile,Pas utile,Pas utile,Pas utile,Pas utile,Pas utile,Très utile,Non,,insuffisance du nombre de poste de mobilité pour le télétravail.,Oui,Courriels / Lettre d'information,,Pas encore,,Oui,"Télétravail, visio.",,VSAH-KYQK,29/04/2020 09:16:04,,29/04/2020 09:38:40,1356.6099086,FR,Terminé,Direct,PC
22,Services du Premier ministre,Autre,chargée de mission,MILDECA,,Oui,,La 2ème semaine,2,,Très utile,Utile,Inconnu,Utile,Inconnu,Inconnu,Utile,Inconnu,Inconnu,Non utilisé,Très utile,Non,,"Collègues non équipés en solution de mobilité donc n'ayant  pas accès à leur messagerie, ni à leurs outils.
Pas de service de visio pour communiquer avec les interlocuteurs hors administration.",Non,Courriels / Lettre d'information;Web ou audio conférences,,Pas encore,,Je ne sais pas encore,,,5FTN-75GT,29/04/2020 11:53:17,,29/04/2020 11:59:41,383.6129316,FR,Terminé,Direct,PC
23,Affaires Etrangères,Chef.fe de service (centrale),,Direction du numérique,,Oui,,Dès la 1ère semaine,4,"Maintien des réunions et points d'information, mais en mode audio/visio conférence ou semi-présentiel.
Dotation d'équipements de mobilité supplémentaires, déploiement d'outils de visioconférence, de solutions pour consulter de manière sécurisée la messagerie sur un équipement personnel, mise à disposition d'outils collaboratifs, salons dédiés sur Tchap, lettre d'information de de la direction.
Appel à volontaires placés initialement en ASA pour renforcer les agents d'autres missions ne nécessitant pas un accès à des outils métiers utilisables uniquement en présentiel ou sur un équipement professionnel (ex : réponse téléphonique, soutien aux utilisateurs).
Mobilisation d'agents pour des équipes/projets sur des actions ayant un impact à très court terme.",Très utile,Non utilisé,Utile,Non utilisé,Très utile,Utile,Non utilisé,Utile,Non utilisé,Non utilisé,Très utile,Oui,"Échanges avec la DINUM et les homologues (parangonnage)
Échanges avec les prestataires de services.","Instabilité des VPN. Difficulté de communication entre les sphères ""diffusion restreinte"" et ""non protégé"".
Inadaptation des outils au développement informatique en télétravail.",Oui,Courriels / Lettre d'information;Réseau social;Site Web;Web ou audio conférences,,Pas encore,,Oui,"Le recours à la visioconférence était déjà répandu entre les différents sites, mais devrait se développer davantage, y compris pour le télétravail à domicile.
Usage des plateformes collaboratives à développer, y compris pour réduire l'usage de la messagerie.","Les leçons à tirer de la crise du Covid19 et du PCA vont nourrir les réflexions déjà engagées sur les méthodes et outils de travail, souvent en confirmant les orientations envisagées, parfois en modifiant l'ordre des priorités pour tenir compte de la prolongation de certains effets de cette crise dans le ""monde de demain"".
La crise a aussi permis une réévaluation par les métiers de l'importance des outils numériques et de leur évolution (ainsi que de la formation ?).",NKME-NRF9,29/04/2020 17:37:47,,29/04/2020 17:56:48,1141.2898883,FR,Terminé,Direct,PC
24,Economie et Finances,Sous-directeur.trice (centrale),,SGAE,,Oui,,Dès la 1ère semaine,5,"Conférences téléphoniques régulières, en bilatéral et collectives, pour garder le contact et maintenir la cohésion.",Très utile,Non utilisé,Non utilisé,Très utile,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Très utile,Non,,"Une partie de nos agents, essentiellement les fonctions support et les assistantes, n'étaient pas dotés d'outils satisfaisants de travail à distance. Leur travail a été rendu plus compliqué, voire impossible, pendant la période de confinement, source d'inégalités et de frustration.
Il est donc impératif de doter l'ensemble des agents d'outils de connexion à distance performants permettant à tous de travailler dans les conditions les plus proches de celles du bureau.",Oui mais insuffisamment,Courriels / Lettre d'information;Web ou audio conférences,,Pas encore,,Je ne sais pas encore,,,E8W9-U97A,29/04/2020 18:30:33,,29/04/2020 18:57:30,1617.0246255,FR,Terminé,Direct,PC
25,Services du Premier ministre,Autre,Cheffe de division,Direction des services administratifs et financiers,,Oui,,Dès la 1ère semaine,2,"Outil pour conserver le lien, partager l'information : Envoi de mails sur les adresses personnelles, newsletter interne, création d'un groupe sur Whatsapp
Réunions en audioconférences
Échanges en visioconférences
Ateliers type design thinking à distance",Très utile,Utile,Non utilisé,Très utile,Très utile,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Très utile,Très utile,Non,,"L'impossibilité d’utiliser des outils compte tenu des contraintes de sûreté informatique (ex : webconférence, Osmose).
L'impossibilité d'équiper tous les agents d'un PC portable relié au réseau.",Oui mais insuffisamment,Courriels / Lettre d'information;Réseau social;Web ou audio conférences,,Non,,Oui,Télétravail,,P78C-RBNK,29/04/2020 18:57:02,,29/04/2020 19:08:18,676.4363463,FR,Terminé,Direct,PC
26,Services du Premier ministre,Sous-directeur.trice (centrale),,SGDSN,,Pas suffisamment,"Faible pratique des conférences téléphoniques à plusieurs sécurisées et donc pas de savoir-faire aisément accessible, pas d'outils de partage de documents sécurisés, ...",Dès la 1ère semaine,1,Utilisation du téléphone pour rester en contact... Roulement de présence pour partage d'informations et consultation sécurisée de documentation.,Très utile,Pas utile,Non utilisé,Non utilisé,Inconnu,Inconnu,Non utilisé,Inconnu,Inconnu,Inconnu,Utile,Oui,"Centre d'assistance informatique du SGDSN, très réactif, mais avec beaucoup de limites sur les outils sécurisés.","Partage d'informations sécurisées, faible dotation d'agent d'outils de travail nomades, usage peu aisé des outils disponibles, absence de pratique de ce type d'outils du fait de la culture et des contraintes en temps normal.",Non,Courriels / Lettre d'information;Web ou audio conférences,,Non,,Je ne sais pas encore,,Toujours pas trouvé le point d'équilibre entre travail à distance et confidentialité.,5PEQ-V3J7,29/04/2020 19:20:50,,29/04/2020 19:39:59,1149.5838897,FR,Terminé,Direct,PC
27,Services du Premier ministre,Chef.fe de mission / département / bureau (centrale),,IHEDN,Île-de-France,Oui,,Dès la 1ère semaine,5,,Très utile,Très utile,Non utilisé,Très utile,Non utilisé,Non utilisé,Très utile,Inconnu,Inconnu,Très utile,Non utilisé,Non,,,Non,Courriels / Lettre d'information;Réseau social;Web ou audio conférences,,Oui,,Oui,,,685X-UW8X,29/04/2020 20:08:37,,29/04/2020 20:11:37,180.4330039,FR,Terminé,Direct,Smartphone
28,Services du Premier ministre,Sous-directeur.trice (centrale),,Direction de l'information légale et administrative / Sous-direction des systèmes d'information,Île-de-France,Oui,,Dès la 1ère semaine,4,"Organisation de réunions en audio ou en visio à travers des solutions de travail collaboratif 
Accès aux applications à travers un VPN et un portail 
Équipement des agents en PC portables, dans la mesure du possible, selon un ordre de priorité",Très utile,Non utilisé,Non utilisé,Utile,Non utilisé,Non utilisé,Très utile,Non utilisé,Non utilisé,Très utile,Très utile,Oui,"Le support informatique mobilise à la fois une équipe interne et des prestataires externes, notamment à travers le marché UGAP d'assistance informatique (titulaire : SCC).
Cette équipe a été fortement sollicitée, à la fois durant la période de préparation et pendant le confinement.","Les solutions collaboratives ont été déployées progressivement au cours de la période de confinement => nécessité d'accompagnement à distance ; définition de règles d'usage (confidentialité) 
Sollicitation importante du support informatique",Oui mais insuffisamment,Courriels / Lettre d'information;Web ou audio conférences,,Non,,Oui,"Solution de travail collaboratif afin de favoriser le travail à distance 
Extension probable du télé-travail","Prise de conscience générale sur le besoin d'agilité en matière de travail à distance 
Nécessité d'accroître la maturité en matière de travail collaboratif : besoin d'une approche professionnelle, globale, favorisant l'intégration des différents outils informatiques",HCUS-WRUV,29/04/2020 19:57:54,,29/04/2020 20:26:14,1699.7782023,FR,Terminé,Direct,PC
29,Affaires Etrangères,Autre,Numéro deux d'Ambassade,Ambassade de France,,Oui,,La 3ème semaine,3,"Rotation des équipes, encouragement au télétravail, communications téléphoniques et messagerie instantanée (création de différents groupes WhatsApp).",Très utile,Non utilisé,Non utilisé,Très utile,Pas utile,Pas utile,Utile,Non utilisé,Inconnu,Non utilisé,Non utilisé,Non,,"Dotations insuffisantes pour cette ambassade en itineo et smarteo (ordinateurs portables et téléphones portables du Quai d'Orsay) pour assurer un travail et des communications sécurisés à distance entre tous les membres de l'équipe et de la cellule de crise. Retard dans la création d'un formulaire sécurisé de recensement des français en difficulté pour leur retour en France et recours dans l'urgence, comme de nombreux postes, à des formulaires Google. Retard également dans le recours à Portaleo pour le télétravail d'un nombre plus large d'agents dès le début de crise.",Oui mais insuffisamment,Courriels / Lettre d'information;Enquête en ligne;Réseau social;Site Web;Autre,WhatsApp,Oui,"Quelques difficultés liées au manque de formation, en particulier pour la mise en place de visioconférences.",Je ne sais pas encore,,"Le recours à la messagerie instantanée type Whatsapp a quelques revers - nécessité renforcée de réactivité, parfois absence de limites en termes de jours et d'horaires- rendant leur usage anxiogène sur la durée et invitant davantage à l'instantanéité qu'à la réflexion à froid. Les postes devraient être également davantage dotés en outils de mobilité (ordinateurs portables) mais le ministère a développé au fil de la crise différents outils qui nous permettront d'être plus vite opérationnels à distance lors d'autres crises.",RS7J-E7AV,29/04/2020 20:31:31,,29/04/2020 20:43:50,739.2685284,FR,Terminé,Direct,PC
30,Affaires Etrangères,Directeur.trice (territoriale),,Consulat général de France à Montréal,,Pas suffisamment,"Equipements (itinéo, token, accès à distance aux applications métier) insuffisants ; statut de certains agents (agents de droit local) empêchant de les doter d'équipements de mobilité.",La 3ème semaine,2,"​- Logiciels ou applications non-développées par l'Etat pour permettre le travail à domicile (réponse téléphonique à distance par SoftPhone ; visioconférences par Jitsi).
- Utilisation des messageries privées des agents pour ceux n'ayant pas accès à leur messagerie à distance
- Redéploiement des outils de mobilité, lorsque cela était possible, pour que les agents avec le besoin le plus fort soient dotés.",Très utile,Très utile,Pas utile,Très utile,Inconnu,Pas utile,Très utile,Non utilisé,Inconnu,Inconnu,Utile,Non,,"Trouver un canal de communication fiable et fonctionnant de façon satisfaisante, accessible par tous les agents (la moitié n'ayant pas accès à leur messagerie professionnelle, certains n'ayant même pas messagerie personnelle, et avec des niveaux de maîtrise très divers des outils informatiques).
La répartition inégale des outils de mobilité a fait peser une charge de travail très importante sur les agents qui en sont dotés, tandis que ceux qui n'y ont pas accès étaient désoeuvrés et ne pouvaient être mobilisés.",Non,Courriels / Lettre d'information;Web ou audio conférences,,Oui,"Les difficultés pour des agents très éloignés des outils informatiques, ne disposant ni de smartphone ni d'ordinateur personnel, sans adresse mail personnelle, étaient déjà identifiées préalablement à la crise. Nécessité de garder un canal de communication directe par téléphone, possible seulement si leur nombre est limité.",Je ne sais pas encore,,,49PR-54QX,29/04/2020 20:33:23,,29/04/2020 20:46:59,815.5977813,FR,Terminé,Direct,PC
31,Affaires Etrangères,Autre,Consul général,,,Pas suffisamment,"​- déploiement insuffisant des outils permettant le travail à distance dans des conditions de sécurité satisfaisantes
- préconisations tardives sur les outils nouveaux à mobiliser par exemple sur la visio conférence",La 3ème semaine,4,"réorganisation complète dans le cadre d'un plan de continuité et de la fermeture des locaux.

place importante prise par les applications de visio et what'sapp.",Très utile,Non utilisé,Utile,Très utile,Non utilisé,Non utilisé,Très utile,Utile,Non utilisé,Inconnu,Très utile,Oui,CRASIC,enjeux de sécurité,Oui mais insuffisamment,Courriels / Lettre d'information;Enquête en ligne;Réseau social;Web ou audio conférences,,Pas encore,,Je ne sais pas encore,,,YQPN-VAA9,30/04/2020 01:40:11,,30/04/2020 01:47:00,409.4323069,FR,Terminé,Direct,PC
